Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
19-015802,2019-04,01/01/2003 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,7928,CHURCH RD,74, , ,7928,CHURCH,897059.1,1046779
19-013866,2019-04,01/01/2014 00:01,Y, , ,1, ,171200,5,SEX OFFNS-STATUATORY RAPE/FIRST,4200,W EVANS AVE,58, , ,4200,EVANS,0,0
19-015518,2019-04,01/01/2019 08:00,Y, , ,1, , 91124,3,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",3444,TENNESSEE AVE,30, , ,3517,GRAND,894455.9,1005176
19-016861,2019-04,01/03/2019 13:30,Y, , ,1, ,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36, ,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
19-000824,2019-04,01/05/2019 23:00, , , ,-1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",1722,22ND,60, , ,1722,22ND,0,0
19-015203,2019-04,01/07/2019 10:35,Y, , ,1, , 51322,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,2854,S JEFFERSON AVE,22, , ,2824,JEFFERSON,899280.1,1007964
19-015231,2019-04,01/10/2019 09:00,Y, , ,1, , 51212,5,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED,4714,HAMMETT PL,55, , ,4714,HAMMETT,891105.7,1030620
19-001659,2019-04,01/10/2019 17:40,Y, , ,1, , 41016,4,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,1907,N 13TH ST,63, ,APT A,1925,13TH,907919.3,1023763
19-017901,2019-04,01/12/2018 13:01,Y, , ,1, , 51322,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,1625,CARROLL ST,32, , ,1625,CARROLL,903017.9,1012974
19-016631,2019-04,01/15/2013 10:56,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,229,BATES ST,1, , ,229,BATES,893501.2,993967.1
19-019026,2019-04,01/15/2019 08:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,0,PAGE BLVD / WALTON AVE,54, , ,1915,OLIVE,889805.1,1028774
19-014671,2019-04,01/15/2019 12:00,Y, , ,1, , 69702,3,LARCENY-ALL OTHER UNDER $500,2831,GASCONADE ST,16, , ,2831,GASCONADE,896285.3,1000758
19-002257,2019-04,01/15/2019 12:05, , , ,-1, ,265321,3,LEAVING SCENE OF ACCIDENT,3110,GRAND,25, , , , ,0,0
19-016625,2019-04,01/17/2019 10:33,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,4165,FLAD AVE,27, , ,4165,FLAD,890628.6,1012078
19-002622,2019-04,01/17/2019 16:31,Y, , ,1, , 81000,5,ARSON-1ST DEGREE/SUCCESS,5969,WABADA,50, ,VACANT RESIDENCE,5969,WABADA,0,0
19-016190,2019-04,01/18/2019 17:00,Y, , ,1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,3741,WEST PINE BLVD,37,SLU, ,3741,WEST PINE,895024.6,1020963
19-015338,2019-04,01/22/2019 10:35,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,710,RUSSELL,21, , ,710,RUSSELL,0,0
19-003366,2019-04,01/22/2019 20:15, , , ,-1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3545,LAFAYETTE,31,SALUS CENTER, ,3545,LAFAYETTE,0,0
19-003348,2019-04,01/22/2019 22:00, , , ,-1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5452,SHREVE,71, , ,5452,SHREVE,0,0
19-003867,2019-04,01/26/2019 01:00,Y, , ,1, , 91123,2,SIMPLE ASSAULT-CHILD/NO INJURY,3634,HYDRAULIC AVE,15, , ,3719,GUSTINE,891615.3,1003909
19-003867,2019-04,01/26/2019 01:00,Y, , ,1, , 91114,2,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3634,HYDRAULIC AVE,15, , ,3719,GUSTINE,891615.3,1003909
