Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-008084,2018-02,01/01/1991 00:01,Y, , ,1, , 21000,2,RAPE -- FORCIBLE,5800,ITASKA ST,8, , ,5800,ITASKA,0,0
18-007453,2018-02,01/01/2012 14:37,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,2000,N 9TH ST,64, , ,2000,9TH,0,0
18-006151,2018-02,01/01/2017 00:01,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",909,CHESTNUT ST,35, , ,909,CHESTNUT,907590.3,1017463
18-008373,2018-02,01/01/2017 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,1847,SWITZER AVE,73, , ,1847,SWITZER,891122.2,1050151
18-007399,2018-02,01/01/2018 00:05,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1546,SWITZER AVE,73, , ,1546,SWITZER,893345.3,1049202
18-005729,2018-02,01/01/2018 09:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,4515,LINDELL BLVD,38, , ,4515,LINDELL,889219.4,1023087
18-007226,2018-02,01/01/2018 09:18,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,5305,DELOR ST,7, , ,5305,DELOR,882246.5,1001348
18-007096,2018-02,01/01/2018 11:20,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1400,N GRAND,59, ,NUISANCE ABATEMENT PROPERTY,1400,N GRAND,0,0
18-008842,2018-02,01/01/2018 12:00,Y, , ,1, , 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,7125,S GRAND AVE,4, , ,7125,GRAND,887738.4,991687.1
18-002353,2018-02,01/01/2018 12:00, , , ,-1, , 43025,6,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC,4128,TURNER,68, , ,4128,TURNER,0,0
18-000134,2018-02,01/01/2018 17:10, , , ,1, , 32211,5,ROBBERY-RESIDENCE  /KNIFE USED/SUCCESSFUL,6131,KINGSBURY,46, , ,6131,KINGSBURY,0,0
18-000134,2018-02,01/01/2018 17:10, , , ,-1, , 51111,5,BURGLARY-RESIDENCE/DAY/FORCE ENT/OCCUPIED,6131,KINGSBURY,46, , ,6131,KINGSBURY,0,0
18-000368,2018-02,01/03/2018 01:00, , , ,-1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5345,LOUIS,50, , ,5345,ST LOUIS,0,0
18-007897,2018-02,01/03/2018 12:35,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4101,GRAVOIS AVE,16, ,@QT - GRAVOIS / CHIPPEWA,4101,GRAVOIS,889849,1003566
18-000490,2018-02,01/03/2018 14:05,Y, , ,1, , 41016,6,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,1031,WALL,74, , ,1031,WALL,0,0
