Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
19-004506,2019-01,01/01/2008 08:00,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,2806,WYOMING ST,30, , ,2806,WYOMING,897464.8,1006417
19-002822,2019-01,01/01/2018 00:01,Y, , ,1, , 43025,5,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC,5082,CABANNE AVE,51, , ,1,CHILDRENS,887152.9,1027974
19-003393,2019-01,01/01/2019 00:01,Y, , ,1, , 69602,1,"LARCENY-ALL OTHER $500 - $24,999",8301,VULCAN ST,2, ,@ F M ROVERTONI,8301,VULCAN,888279.3,986021.3
19-000005,2019-01,01/01/2019 00:01,Y, , ,1, , 41021,4,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,713,BIDDLE ST,62, , ,713,BIDDLE,909133.8,1020613
19-000062,2019-01,01/01/2019 00:01,Y, , ,1, ,152200,2,WEAPONS-CITY VIOL/DISCHRGING IN CITY,1115,S NEWSTEAD AVE,39, , ,1115,NEWSTEAD,888873.8,1016856
19-000849,2019-01,01/01/2019 00:01,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1405,N 7TH ST,62, ,3RD FL APT E,1405,7TH,909422.4,1021549
19-000005,2019-01,01/01/2019 00:01,Y, , ,1, , 41021,4,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,713,BIDDLE ST,62, , ,713,BIDDLE,909133.8,1020613
19-002465,2019-01,01/01/2019 00:01,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,601,CLARK AVE,35, ,@BALLPARK VILLAGE,1915,OLIVE,908223.8,1016086
19-000005,2019-01,01/01/2019 00:01,Y, , ,1, , 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,713,BIDDLE ST,62, , ,713,BIDDLE,909133.8,1020613
19-002125,2019-01,01/01/2019 00:01,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3172,S GRAND BLVD,25, , ,3172,GRAND,893870.7,1007506
19-000010,2019-01,01/01/2019 00:02,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3931,BOWEN ST,3, ,INSIDE RESIDENCE,3931,BOWEN,887585.6,995757.6
19-000004,2019-01,01/01/2019 00:05,Y, , ,1, ,266510,4,PUBLIC ORDER-TRESPASSING,601,CLARK AVE,35, ,@BALLPARK VILLAGE,601,CLARK,908223.8,1016086
19-000007,2019-01,01/01/2019 00:10,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,814,LA BEAUME ST,64,FIRE HOUSE 9, ,814,LA BEAUME,909577.8,1023935
19-000011,2019-01,01/01/2019 00:10,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4415,GRACE AVE,16, , ,4415,GRACE,892361.3,999740.5
19-000098,2019-01,01/01/2019 00:10,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1128,N 9TH ST,62,COCHRAN HOUSING COMPLEX, ,1128,9TH,908464.2,1020468
19-000009,2019-01,01/01/2019 00:10,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5003,S 37TH ST,16, , ,5003,37TH,890961.8,997996.5
19-000008,2019-01,01/01/2019 00:13,Y, , ,1, , 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3211,UNIVERSITY ST,59, , ,3211,UNIVERSITY,900503.6,1027633
