Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-026541,2018-06,01/01/1900 00:00,Y, , ,1, , 52212,3,BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE,2001,PARK AVE,32, ,LAREDO RESTUARANT, , ,902076.8,1013908
18-026981,2018-06,01/01/2016 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,8442,N BROADWAY,74, , ,8442,BROADWAY,897472.3,1049862
18-026416,2018-06,01/01/2016 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,6032,MARGARETTA AVE,70, , ,6032,MARGARETTA,884772.6,1040376
18-030437,2018-06,01/01/2018 12:00,Y, , ,1, ,112020,6,FRAUD-CREDIT DEVICE/UNDER $150,4885,CARTER AVE,69, , ,4885,CARTER,893702.3,1037906
18-027408,2018-06,01/01/2018 21:30,Y, , ,1, , 21000,2,RAPE -- FORCIBLE,6400,WEST PARK AVE,42, , ,6400,WEST PARK,0,0
18-028781,2018-06,01/02/2018 03:57,Y, , ,1, , 67701,2,LARCENY-FROM BUILDING UNDER $500,3252,WATSON RD,9, , ,3252,WATSON,878107.4,1008877
18-026632,2018-06,01/09/2017 00:01,Y, , ,1, , 71030,2,AUTO THEFT-PERM RETNT/JOY RIDE,1375,S KINGSHIGHWAY BLVD,12, ,CAR LOT,1375,KINGSHIGHWAY,886778.3,1015563
18-003383,2018-06,01/22/2018 01:59,Y, , ,1, , 91113,2,SIMPLE ASSAULT-ADULT/NO INJURY,5521,WILSON AVE,12,RED ROOF INN, ,5521,WILSON,883055.9,1013498
18-024483,2018-06,01/24/2018 15:28,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4171,LINDELL BLVD,38, ,@SCHNUCKS - SARAH AND LINDELL,4171,LINDELL,892104.8,1022153
18-025291,2018-06,02/01/2010 08:13,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,919,N JEFFERSON AVE,59, , ,919,JEFFERSON,902219.7,1021301
18-028322,2018-06,02/01/2018 08:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4227,HOLLY AVE,68, , ,4277,HOLLY,897224.2,1034447
18-005490,2018-06,02/03/2018 10:30, , , ,-1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4171,LINDELL,38, , , , ,0,0
18-006414,2018-06,02/09/2018 21:00, , , ,-1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR, , ,21, , , , ,0,0
18-024488,2018-06,02/10/2018 14:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4171,LINDELL BLVD,38, ,@SCHNUCKS - SARAH AND LINDELL,4171,LINDELL,892104.8,1022153
18-024486,2018-06,02/10/2018 16:25,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4171,LINDELL BLVD,38, ,@SCHNUCKS - SARAH AND LINDELL,4171,LINDELL,892104.8,1022153
18-023460,2018-06,02/12/2017 01:00,Y, , ,1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",8116,PARKWOOD DR,4, , ,104,BRENTWOOD,881225.6,991683.3
18-024484,2018-06,02/22/2018 09:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4171,LINDELL BLVD,38, ,@SCHNUCKS - SARAH AND LINDELL,4171,LINDELL,892104.8,1022153
18-023420,2018-06,02/23/2018 07:47,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5855,SELBER CT,50, , ,5855,SELBER,884892.9,1038049
17-009567,2018-06,02/27/2017 04:00, , , ,1, ,182999,1,DRUGS-POSSESSION/OTHR UNSPEC DRUG,700,BLOW,1, , ,7100,IDAHO,0,0
18-029353,2018-06,03/01/2018 00:01,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,4431,CHOUTEAU AVE,39, , ,4431,CHOUTEAU,889068.9,1018546
18-024489,2018-06,03/01/2018 01:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1611,HODIAMONT AVE,50, , ,1611,HODIAMONT,881618.4,1035236
18-029023,2018-06,03/01/2018 09:16,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1000,WASHINGTON AVE,35, ,NUISANCE ABATEMENT PROPERTY,1000,WASHINGTON,907483,1018737
18-029040,2018-06,03/01/2018 09:30,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,5107,RIDGE AVE,51, , ,4128,PENNSYLVANIA,887047,1030256
18-028992,2018-06,03/05/2018 19:59,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1000,WASHINGTON AVE,35, ,NUISANCE ABATEMENT PROPERTY,1000,WASHINGTON,907483,1018737
18-026400,2018-06,03/06/2018 09:00,Y, , ,1, , 67701,3,LARCENY-FROM BUILDING UNDER $500,4128,OREGON AVE,16, , ,919,JEFFERSON,896360.3,1000338
