Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-009431,2018-03,03/01/2018 08:50,Y, , ,1, , 10000,5,HOMICIDE,4229,W COTE BRILLIANTE AVE,57, , ,4229,COTE BRILLIANTE,894410.9,1028080
18-009700,2018-03,03/01/2018 18:30,Y, , ,1, , 10000,4,HOMICIDE,3245,KNAPP ST,65, , ,3245,KNAPP,905727.4,1027916
18-009971,2018-03,03/05/2018 00:45,Y, , ,1, , 10000,6,HOMICIDE,5318,SHREVE AVE,71, ,@AMEREN - 158,4700,FLORISSANT,895308.8,1038155
18-010716,2018-03,03/09/2018 15:00,Y, , ,1, , 10000,5,HOMICIDE,924,PENDLETON AVE,58, , ,926,PENDLETON,892611.9,1025417
18-010716,2018-03,03/09/2018 15:00,Y, , ,1, , 10000,5,HOMICIDE,924,PENDLETON AVE,58, , ,926,PENDLETON,892611.9,1025417
18-010757,2018-03,03/10/2018 01:04,Y, , ,1, , 10000,3,HOMICIDE,4056,CALIFORNIA AVE,16, , , , ,896718,1000689
18-011972,2018-03,03/17/2018 16:10,Y, , ,1, , 10000,5,HOMICIDE,4503,MCMILLAN AVE,54, , , , ,891120.7,1026735
18-012030,2018-03,03/17/2018 23:19,Y, , ,1, , 10000,1,HOMICIDE,4528,NEBRASKA AVE,17, ,STREET,4529,NEBRASKA,895610.9,997764.3
18-012080,2018-03,03/18/2018 09:19,Y, , ,1, , 10000,5,HOMICIDE,4012,GARFIELD AVE,56, , ,4000,GARFIELD,896370.4,1027075
18-012231,2018-03,03/19/2018 10:26,Y, , ,1, , 10000,5,HOMICIDE,853,GOODFELLOW BLVD,48, , ,853,GOODFELLOW,881199.8,1028552
18-012492,2018-03,03/20/2018 19:37,Y, , ,1, , 10000,5,HOMICIDE,5401,RIDGE AVE,78, , , , ,885172.3,1030986
18-012955,2018-03,03/23/2018 20:10,Y, , ,1, , 10000,5,HOMICIDE,2821,N VANDEVENTER AVE,56, ,MIDWEST PETROLEUM,2816,VANDEVENTER,898133.8,1028563
18-010486,2018-03,01/01/2018 09:00,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,1500,N 8TH ST,62, , ,1500,8TH,0,0
18-006423,2018-03,02/10/2018 05:46, , , ,1, , 21000,6,RAPE -- FORCIBLE,4900,CARTER,69, , ,4900,CARTER,0,0
18-008861,2018-03,02/23/2018 13:00,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,3000,WASHINGTON AVE,37, ,SALVATION ARMY APARTMENTS,4900, ,0,0
18-008695,2018-03,02/24/2018 01:00,Y, , ,1, , 21000,2,RAPE -- FORCIBLE,7000,WEIL AVE,9, ,APT 207,7000,WEIL,0,0
18-011716,2018-03,02/25/2018 00:01,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,4300,PAGE BLVD,58, , ,4000,UNION,0,0
18-009525,2018-03,03/01/2018 16:00,Y, , ,1, , 21000,2,RAPE -- FORCIBLE,0,TOWER GROVE PARK,81, ,@TOWER GROVE PARK, , ,0,0
18-010979,2018-03,03/10/2018 19:00,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,6900,VERMONT AVE,1, , ,6900,VERMONT,0,0
18-011110,2018-03,03/11/2018 19:00,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,5000,DR MARTIN LUTHER KING DR,53, ,EXACT LOCATION UNKNOWN,5100,COTE BRILLIANTE,0,0
18-011378,2018-03,03/12/2018 23:30,Y, , ,1, , 21000,0,RAPE -- FORCIBLE,0,UNKNOWN,0, , ,1900,OLIVE,0,0
18-013386,2018-03,03/18/2018 22:00,Y, , ,1, , 21000,0,RAPE -- FORCIBLE,0,UNKNOWN,0, , ,3000,LACLEDE,0,0
18-012728,2018-03,03/19/2018 00:01,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,4600,GRAVOIS AVE,5, , , , ,0,0
18-012352,2018-03,03/19/2018 19:00,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,5000,GERALDINE AVE,71, , ,5400,GERALDINE,0,0
18-013311,2018-03,03/23/2018 00:01,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,1200,N EUCLID AVE,53, , ,1200,EUCLID,0,0
18-013347,2018-03,03/24/2018 02:00,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,5000,COTE BRILLIANTE AVE,52,FATHER DISMAS FOUNDATION,@FATHER DISMAS FOUNDATION,5000,COTE BRILLIANTE,0,0
18-013743,2018-03,03/26/2018 10:00,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,5200,LOUISIANA AVE,1, , , ,LOUISIANA,0,0
18-013866,2018-03,03/26/2018 23:00,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,5500,DELMAR BLVD,49,FOREST PARK APARTMENTS, ,5500,DELMAR,0,0
18-007330,2018-03,05/15/2017 00:01,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,3100,S BROADWAY,20, , ,3100,BROADWAY,0,0
18-010501,2018-03,06/01/2017 14:00,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,2000,E PRAIRIE AVE,66, , ,2000,PRAIRIE,0,0
18-010806,2018-03,11/01/2003 00:01,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,1900,OLIVE ST,36, ,@HEADQUARTERS,1900,OLIVE,0,0
18-004392,2018-03,11/11/2017 14:00,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,4900,ANDERSON AVE,69, , ,4900,ANDERSON,0,0
18-007923,2018-03,12/02/2014 15:20,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,600,JACKSON ST,74, , ,800,CANAAN,0,0
18-010807,2018-03,12/18/2013 12:30,Y, , ,1, , 22000,6,RAPE -- INCEST (FORCIBLE),4800,GENEVIEVE AVE,72, , ,1900,OLIVE,0,0
18-010863,2018-03,03/10/2018 16:00,Y, , ,1, , 23000,1,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,4900,CHIPPEWA ST,7, , ,4900,CHIPPEWA,0,0
18-005187,2018-03,02/01/2018 18:40,Y, , ,1, , 31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,0,N KINGSHIGHWAY BLVD / SUBURBAN,53, , , , ,887924.5,1027327
18-008566,2018-03,02/23/2018 14:00,Y, , ,1, , 31111,6,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,4919,GERALDINE AVE,71, , ,4919,GERALDINE,892055,1039878
18-009439,2018-03,02/27/2018 01:00,Y, , ,1, , 31111,6,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,0,N EUCLID AVE / NATURAL BRIDGE,55, , , , ,891824.3,1034808
18-009435,2018-03,03/01/2018 10:20,Y, , ,1, , 31111,3,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1027,MORRISON AVE,34, , ,1027,MORRISON,905731.5,1013206
18-009593,2018-03,03/02/2018 09:30,Y, , ,1, , 31111,6,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3912,LEXINGTON AVE,56, ,REAR,3912,LEXINGTON,898925.1,1030138
18-009620,2018-03,03/02/2018 15:15,Y, , ,1, , 31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,2300,N KINGSHIGHWAY BLVD,55, , ,4924,LOTUS,889021.9,1031591
18-009776,2018-03,03/03/2018 14:25,Y, , ,1, , 31111,6,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,7820,N BROADWAY,74,@PX LIQUOR STORE, ,7842,BROADWAY,897344.1,1046139
18-009801,2018-03,03/03/2018 17:20,Y, , ,1, , 31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,6116,DR MARTIN LUTHER KING DR,78, , , , ,881259.9,1034806
18-010391,2018-03,03/04/2018 18:00,Y, , ,1, , 31111,1,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3600,DELOR ST,16, ,SIDEWALK/STREET,3608,DELOR,891552.9,997605.5
18-009960,2018-03,03/05/2018 00:15,Y, , ,1, , 31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1342,HAMILTON AVE,78, ,1ST FL,5869,PAGE,881598.1,1032776
18-010652,2018-03,03/09/2018 11:00,Y, , ,1, , 31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1163,HAMILTON AVE,48, ,CITY STREET,1163,HAMILTON,880599.4,1031020
18-010933,2018-03,03/11/2018 06:21,Y, , ,1, , 31111,6,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,5715,MIMIKA AVE,76, , ,5715,MIMIKA,890369.3,1047405
18-010944,2018-03,03/11/2018 09:09,Y, , ,1, , 31111,1,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,2800,OSCEOLA ST,17,IN THE REAR ALLEY, , , ,896426.6,998721.9
18-011038,2018-03,03/11/2018 23:20,Y, , ,1, , 31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1474,ROWAN AVE,78, , , , ,882569.7,1033718
18-011292,2018-03,03/13/2018 13:45,Y, , ,1, , 31111,6,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,4100,CLARENCE AVE,68, , , , ,896625.1,1033903
18-011375,2018-03,03/13/2018 23:11,Y, , ,1, , 31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,5128,WABADA AVE,52, , ,5128,WABADA,888203.7,1032296
18-011728,2018-03,03/16/2018 03:49,Y, , ,1, , 31111,6,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,0,NEWBY ST / RIVERVIEW BLVD,74, , , , ,895881.5,1052306
18-011729,2018-03,03/16/2018 04:05,Y, , ,1, , 31111,6,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,8500,N BROADWAY,74, , ,1054,WALL,897467.5,1050141
18-011820,2018-03,03/16/2018 16:00,Y, , ,1, , 31111,6,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,5010,LILLIAN AVE,71,FAMILY DOLLAR, ,5010,UNION,893063.9,1039007
18-012163,2018-03,03/18/2018 21:11,Y, , ,1, , 31111,3,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,2810,MICHIGAN AVE,25, , ,2810,MICHIGAN,896416.9,1009130
18-012326,2018-03,03/19/2018 20:15,Y, , ,1, , 31111,6,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,4532,DRYDEN AVE,69, , ,4532,DRYDEN,896930.6,1037028
18-012515,2018-03,03/21/2018 00:30,Y, , ,1, , 31111,6,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,0,BEACON AVE / BIRCHER BLVD,72, , , , ,889460.3,1040714
18-012749,2018-03,03/22/2018 15:47,Y, , ,1, , 31111,6,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,4108,W FLORISSANT AVE,68, , ,4108,FLORISSANT,900167.4,1034450
18-012825,2018-03,03/23/2018 00:05,Y, , ,1, , 31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,6031,WASHINGTON BLVD,46, , ,5906,MCPHERSON,878815.4,1027068
18-012988,2018-03,03/23/2018 23:10,Y, , ,1, , 31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,600,N KINGSHIGHWAY BLVD,38, , , , ,887891.8,1025894
18-013398,2018-03,03/26/2018 15:30,Y, , ,1, , 31111,3,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3413,JUNIATA ST,25, , ,3413,JUNIATA,894921.5,1007673
18-013440,2018-03,03/26/2018 22:36,Y, , ,1, , 31111,2,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3634,CONNECTICUT ST,15, , ,3634,CONNECTICUT,893365.3,1007382
18-013445,2018-03,03/26/2018 22:50,Y, , ,1, , 31111,4,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1401,CHOUTEAU AVE,36, ,@AMOCO - 14TH AND CHOUTEAU,300,18TH,904521.8,1014630
18-013483,2018-03,03/27/2018 09:13,Y, , ,1, , 31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1223,HODIAMONT AVE,48, ,IN FRONT,1221,HODIAMONT,879842.8,1032097
18-013797,2018-03,03/29/2018 03:40,Y, , ,1, , 31111,6,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,8815,N BROADWAY,74, , , , ,897615.1,1052696
18-013970,2018-03,03/30/2018 03:25,Y, , ,1, , 31111,4,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1726,PRESERVATION PL,61,PRESERVATION SQUARE APARTMENTS,PARKING LOT,1723,OFALLON,906189.8,1022184
18-014107,2018-03,03/30/2018 22:20,Y, , ,1, , 31111,3,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3105,LEMP AVE,22, , ,3105,LEMP,900821.1,1006304
18-009059,2018-03,02/26/2018 19:35,Y, , ,1, , 31112,2,ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT,4271,SHENANDOAH AVE,27, , ,4271,SHENANDOAH,889666.5,1011527
18-009504,2018-03,03/01/2018 16:20,Y, , ,1, , 31112,5,ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT,0,SAINT LOUIS AVE / UNION BLVD,52, , ,4949, ,888227.8,1034459
18-009858,2018-03,03/04/2018 05:45,Y, , ,1, , 31112,4,ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT,902,S BROADWAY,35, ,BP GAS STATION PARKING LOT,902,BROADWAY,907974,1013926
18-011844,2018-03,03/16/2018 17:00,Y, , ,1, , 31112,3,ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT,2101,KEOKUK ST,18, ,NORTH SIDEWALK AT ENTRANCE TO ALLEY,1325,GRAND,899055.8,1001637
18-014148,2018-03,03/31/2018 05:00,Y, , ,1, , 31112,2,ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT,0,FAIRVIEW AVE / MORGANFORD RD,15, , ,3625,MORGANFORD,888147.4,1006108
18-012136,2018-03,03/16/2018 01:30,Y, , ,1, , 31311,4,ROBBERY-HIGHWAY/OTHR WEPN USED/SUCCESSFUL,2515,HEBERT ST,60, , ,2515,HEBERT,903497.4,1027973
18-013275,2018-03,03/25/2018 23:40,Y, , ,1, , 31311,5,ROBBERY-HIGHWAY/OTHR WEPN USED/SUCCESSFUL,4818,WASHINGTON AVE,38, ,SILO S-COFFE AND GOODS,512,EUCLID,888761.9,1025574
18-012061,2018-03,03/17/2018 23:00,Y, , ,1, , 31411,6,ROBBERY-HIGHWAY  /STRNGARM/INJURY/SUCCESS,5538,W FLORISSANT AVE,72, , , , ,893412.1,1043610
18-008871,2018-03,02/25/2018 18:00,Y, , ,1, , 31421,6,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,8444,N BROADWAY,74, , ,8444,BROADWAY,897472.3,1049862
18-009181,2018-03,02/27/2018 15:35,Y, , ,1, , 31421,1,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,504,BATES ST,1, , , , ,892637.8,994365.9
18-009769,2018-03,03/03/2018 13:00,Y, , ,1, , 31421,1,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,4606,LOUISIANA AVE,16, , ,4660,LOUISIANA,893041.7,998413.1
18-010014,2018-03,03/05/2018 09:59,Y, , ,1, , 31421,2,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,3441,MORGANFORD RD,15, ,FRONT LAWN,3430,MORGANFORD,888013.9,1005952
18-010324,2018-03,03/07/2018 09:45,Y, , ,1, , 31421,2,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,909,S TAYLOR AVE,39,ST. LOUIS COLLEGE OF HEALTH CAREERS, ,920,TAYLOR,888402.7,1018876
18-010678,2018-03,03/09/2018 15:47,Y, , ,1, , 31421,5,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,0,N EUCLID AVE / LENOX PL,38, , , , ,888451,1024627
18-010986,2018-03,03/10/2018 22:00,Y, , ,1, , 31421,3,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,2000,MENARD ST,21, , ,1900,SIDNEY,903987.8,1010472
18-011554,2018-03,03/15/2018 00:10,Y, , ,1, , 31421,1,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,3600,ALBERTA ST,16, , , , ,893141.3,1002099
18-011877,2018-03,03/17/2018 01:41,Y, , ,1, , 31421,3,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,1001,RUSSELL BLVD,21, , ,1900,RUSSELL,903863.3,1010118
18-011955,2018-03,03/17/2018 14:50,Y, , ,1, , 31421,3,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,0,S 12TH ST / VICTOR ST,21, , , , ,902625.8,1008685
18-012101,2018-03,03/18/2018 03:15,Y, , ,1, , 31421,4,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,1000,CLARK AVE,35, , ,1000,CLARK,906803,1016334
18-012135,2018-03,03/18/2018 16:30,Y, , ,1, , 31421,1,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,4612,GRAVOIS AVE,5, , ,4612,GRAVOIS,887692.3,1001378
18-012157,2018-03,03/18/2018 21:00,Y, , ,1, , 31421,5,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,4910,WEST PINE BLVD,38, , ,4910,WEST PINE,888107.9,1022658
18-012189,2018-03,03/18/2018 23:25,Y, , ,1, , 31421,5,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,3919,LACLEDE AVE,38, , ,3965,LACLEDE,893750.9,1020777
18-012534,2018-03,03/20/2018 17:15,Y, , ,1, , 31421,2,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,1755,S GRAND BLVD,27, ,@CARE UNIT HOSPITAL,1755,GRAND,894360.4,1013140
18-013694,2018-03,03/28/2018 14:20,Y, , ,1, , 31421,5,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,4965,MCPHERSON AVE,38, , ,4965,MCPHERSON,887957.6,1025482
18-005682,2018-03,02/05/2018 12:10, , , ,1, , 31422,2,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/ATTEMPT,5201,SOUTHWEST,12,FAVAZZA`S, , , ,0,0
18-011280,2018-03,03/12/2018 21:00,Y, , ,1, , 32111,3,ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL,1907,MIAMI ST,18, , ,1907,MIAMI,900366.2,1003456
18-013491,2018-03,03/15/2018 23:29,Y, , ,1, , 32111,1,ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL,3863,MERAMEC ST,16, , ,3863,MERAMEC,891691.6,1001624
18-005036,2018-03,01/31/2018 17:38, , , ,1, , 32112,1,ROBBERY-RESIDENCE   /FIREARM USED/ATTEMPT,7851,COSTA,1, , ,7851,COSTA,0,0
18-013799,2018-03,03/29/2018 04:00,Y, , ,1, , 32421,4,ROBBERY-RESIDENCE/STRNGARM/NO INJ/SUCCESS,1600,PINE ST,36, ,APT 112,1600,PINE,904957.8,1018479
18-012008,2018-03,03/17/2018 22:11,Y, , ,1, , 34311,2,ROBBERY-CONVEN STOR/OTHR WEP USED/SUCCESS,3291,S KINGSHIGHWAY BLVD,14,QUIKTRIP, , , ,885690.1,1007605
18-009962,2018-03,03/05/2018 01:18,Y, , ,1, , 34421,2,ROBBERY-CONVEN STOR/STRNGARM/NO INJ/SUCCESS,2166,HAMPTON AVE,12,QUIKTRIP, ,2166,HAMPTON,881175.8,1013045
18-010855,2018-03,03/10/2018 16:56,Y, , ,1, , 35421,5,ROBBERY-GAS STA/STRNGARM/NO INJ/SUCCESS,710,GOODFELLOW BLVD,48, ,@GASMART,5745,DELMAR,881216.5,1027231
18-014010,2018-03,03/30/2018 10:45,Y, , ,1, , 35421,1,ROBBERY-GAS STA/STRNGARM/NO INJ/SUCCESS,4355,S BROADWAY,17,CONOCO PARKING LOT, ,4220,BROADWAY,896676.4,998998.5
18-007920,2018-03,02/19/2018 14:01,Y, , ,1, , 36111,1,ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS,4600,CHIPPEWA ST,5,DISCOUNT SMOKE SHOP,@SUBWAY - CHIPPEWA,4600,CHIPPEWA,885747.1,1003901
18-009711,2018-03,03/03/2018 04:10,Y, , ,1, , 36111,1,ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS,5604,GRAVOIS AVE,5, , ,5604,GRAVOIS,885345.8,999210.5
18-010455,2018-03,03/08/2018 07:30,Y, , ,1, , 36111,2,ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS,3631,GRAVOIS AVE,15,WALGREENS,@WALGREENS - GRAVOIS AND GRAND,3631,GRAVOIS,893179.3,1004622
18-012399,2018-03,03/20/2018 11:25,Y, , ,1, , 36111,2,ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS,6901,HAMPTON AVE,8,GAS MART GAS STATION,GAS MART GAS STATION,6901,HAMPTON,878769.2,997854.5
18-012809,2018-03,03/22/2018 20:58,Y, , ,1, , 36111,2,ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS,3671,S GRAND BLVD,15,FOREVER YOUNG BEAUTY SUPPLY, ,3671,GRAND,893420.3,1004240
18-010561,2018-03,03/08/2018 17:58,Y, , ,1, , 36112,6,ROBBERY-COMMERCE PL/FIREARM USED/ATTEMPT,5120,THEKLA AVE,71,E&L MARKET, ,5120,THEKLA,893415.4,1040260
18-010897,2018-03,03/10/2018 20:58,Y, , ,1, , 36112,5,ROBBERY-COMMERCE PL/FIREARM USED/ATTEMPT,5025,DELMAR BLVD,51,BURGER KING, ,5025,DELMAR,887509.5,1026340
18-010253,2018-03,03/06/2018 19:40,Y, , ,1, , 36421,5,ROBBERY-COMMERCE PL/STRNGARM/NO INJ/SUCCESS,389,N EUCLID AVE,38,JENIS SPLENDID ICE CREAM, ,389,EUCLID,888396.4,1024953
18-010991,2018-03,03/11/2018 14:58,Y, , ,1, , 36421,1,ROBBERY-COMMERCE PL/STRNGARM/NO INJ/SUCCESS,4930,CHRISTY BLVD,5, ,@BURLINGTON COAT FACTORY,4930,CHRISTY,884082.3,1001677
18-013006,2018-03,03/24/2018 07:05,Y, , ,1, , 36421,1,ROBBERY-COMMERCE PL/STRNGARM/NO INJ/SUCCESS,7107,S BROADWAY,1, , ,7107,BROADWAY,890465.8,989579.8
18-013829,2018-03,03/29/2018 07:49,Y, , ,1, , 36421,1,ROBBERY-COMMERCE PL/STRNGARM/NO INJ/SUCCESS,4660,CHIPPEWA ST,5,SHOP N SAVE, ,4660,CHIPPEWA,885362.3,1003846
18-007586,2018-03,02/17/2018 09:20,Y, , ,1, , 38111,5,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,1436,AMHERST TER,78, , ,1436,AMHERST,881699.4,1033804
18-009245,2018-03,02/27/2018 21:35,Y, , ,1, , 38111,5,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,6031,WATERMAN BLVD,46, ,REAR ALLEY, , ,878629.1,1025842
18-009537,2018-03,03/01/2018 23:20,Y, , ,1, , 38111,3,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,2021,WITHNELL AVE,22, , ,2021,WITHNELL,899902,1005883
18-010598,2018-03,03/09/2018 00:45,Y, , ,1, , 38111,1,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,4259,IOWA AVE,17, , ,4347,BROADWAY,896910.7,999613.8
18-010720,2018-03,03/09/2018 19:40,Y, , ,1, , 38111,4,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,0,N PRAIRIE AVE / SULLIVAN AVE,59, ,STOP SIGN,1316,HOGAN,899464,1029203
18-010720,2018-03,03/09/2018 19:40, , , ,-1, , 38111,4,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,0,N PRAIRIE AVE / SULLIVAN AVE,59, ,STOP SIGN,1316,HOGAN,899464,1029203
18-011199,2018-03,03/12/2018 21:18,Y, , ,1, , 38111,5,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,336,N NEWSTEAD AVE,38, , ,4398,MCPHERSON,890714.8,1023471
18-011387,2018-03,03/14/2018 01:08,Y, , ,1, , 38111,5,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,5750,NATURAL BRIDGE AVE,50, , ,5750,NATURAL BRIDGE,885556.4,1038533
18-011499,2018-03,03/14/2018 16:11,Y, , ,1, , 38111,2,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,2140,HAMPTON AVE,12, , , , ,881224.1,1013359
18-011874,2018-03,03/17/2018 00:15,Y, , ,1, , 38111,1,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,3614,DUNNICA AVE,16, , ,3625,DUNNICA,892989.4,1002773
