Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-016789,2018-05,01/01/2015 08:00, , , ,1, , 23000,0,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,3400,HUMPHREY,0, , ,200,RIPA,0,0
18-016789,2018-05,01/01/2015 08:00, , , ,-1, , 91124,0,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",3401,HUMPHREY,0, , ,243,RIPA,0,0
18-021847,2018-05,01/01/2017 00:01,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,5900,PAGE BLVD,78, , ,5900,PAGE,0,0
18-023887,2018-05,01/01/2017 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4892,ANDERSON AVE,69, , ,4892,ANDERSON,893350.3,1037162
18-021714,2018-05,01/03/2016 12:30,Y, , ,1, , 44011,2,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 1ST DEGRE",2319,ESTHER AVE,11, , ,2319,ESTHER,880315,1012848
18-020603,2018-05,01/05/2018 17:34,Y, , ,1, , 67601,1,"LARCENY-FROM BUILDING $500 - $24,999",3648,BATES ST,3, ,2ND FLR,3648,BATES,889936.9,996160.1
18-020522,2018-05,01/09/2018 11:06,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4739,GOODFELLOW BLVD,70, , ,4739,GOODFELLOW,887043.9,1043351
18-001340,2018-05,01/09/2018 11:15,Y, , ,1, ,183250,4,DRUGS-SALE/COCAINE,0,N GRAND BLVD / MONTGOMERY ST,59, , , , ,899404.5,1026696
18-019842,2018-05,01/12/2018 14:50,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3719,N EUCLID AVE,69, , ,3719,EUCLID,891964.5,1035004
16-001981,2018-05,01/13/2016 09:32, , , ,1, ,117000,4,FAILURE TO RETURN BORROWED/RENTED VEHICL,800,WASHINGTON,35,MARRIOTT HOTEL,HERTZ,800,WASHINGTON,0,0
16-001981,2018-05,01/13/2016 09:32, , , ,-1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,800,WASHINGTON,35,MARRIOTT HOTEL,HERTZ,800,WASHINGTON,0,0
18-024648,2018-05,01/15/2018 21:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,4519,MCPHERSON AVE,38, , ,4519,MCPHERSON,889838.6,1024327
18-021902,2018-05,01/15/2018 22:30,Y, , ,1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,4000,SHAW AVE,27, , ,4000,SHAW,892115.9,1013111
18-023277,2018-05,01/17/2018 17:00,Y, , ,1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5569,PAGE BLVD,78, , ,5569,PAGE,883643.3,1030882
17-003653,2018-05,01/20/2017 13:15, , , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5527,ERA,76, , ,5527,ERA,0,0
17-003653,2018-05,01/20/2017 13:15, , , ,-1, , 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5527,ERA,76, , ,5527,ERA,0,0
18-019828,2018-05,01/20/2018 08:50,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",1110,WASHINGTON AVE,35,VANGUARD APARTMENTS, ,1110,WASHINGTON,907161.8,1018819
18-020506,2018-05,01/20/2018 22:40,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4008,N KINGSHIGHWAY BLVD,69, , ,4008,KINGSHIGHWAY,891746.9,1036176
18-014795,2018-05,01/28/2018 15:30, , , ,1, , 43013,6,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,5017,GERALDINE,71, ,RESIDENCE,5017,GERALDINE,0,0
18-014795,2018-05,01/28/2018 15:30, , , ,-1, , 91113,6,SIMPLE ASSAULT-ADULT/NO INJURY,5017,GERALDINE,71, ,RESIDENCE,5017,GERALDINE,0,0
18-021846,2018-05,01/29/2018 04:45,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4011,DELMAR BLVD,58, , ,4011,DELMAR,894365.3,1023749
18-024635,2018-05,02/01/2017 08:00,Y, , ,1, ,112010,4,FRAUD-CREDIT DEVICE/OVER $150,721,T E HUNTLEY AVE,37, , ,721,T E HUNTLEY,900414,1021060
18-020901,2018-05,02/01/2017 14:44,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,1400,UNION BLVD,51, , ,1400,UNION,0,0
18-020901,2018-05,02/01/2017 14:44,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,1400,UNION BLVD,51, , ,1400,UNION,0,0
18-005075,2018-05,02/01/2018 02:30, , , ,-1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",5110,PENNSYLVANIA,17, , ,5016,PENNSYLVANIA,0,0
18-022896,2018-05,02/01/2018 08:58,Y, , ,1, ,112020,1,FRAUD-CREDIT DEVICE/UNDER $150,120,W CATALAN ST,2, , ,120,CATALAN,886791.9,985739.5
18-019243,2018-05,02/01/2018 09:29,Y, , ,1, ,115100,1,FRAUD-STEALING BY DECEIT/OVER $150,5336,LOUGHBOROUGH AVE,6, , ,5336,LOUGHBOROUGH,879990.6,997543.2
18-019670,2018-05,02/01/2018 22:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1304,N 8TH ST,62, ,NUISANCE ABATEMENT PROPERTY,1304,8TH,909174.6,1021833
18-020511,2018-05,02/06/2018 22:40,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6124,N BROADWAY,79, , ,6124,BROADWAY,900558.8,1038456
18-022738,2018-05,02/08/2018 12:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4027,PENROSE ST,68, , ,4027,PENROSE,899702.4,1033197
18-019677,2018-05,02/08/2018 18:07,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3644,NATURAL BRIDGE AVE,59, ,NUISANCE ABATEMENT PROPERTY,3644,NATURAL BRIDGE,901069.3,1029712
18-020608,2018-05,02/10/2018 12:00,Y, , ,1, , 64701,3,LARCENY-FROM MTR VEH UNDER $500,1017,S TUCKER BLVD,33, , ,1017,TUCKER,905512.8,1014285
18-023423,2018-05,02/12/2018 03:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3340,HAMILTON AVE,50, , ,3340,HAMILTON,884326.2,1037879
18-019897,2018-05,02/15/2018 19:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",4342,THOLOZAN AVE,15, , ,4342,THOLOZAN,887505.1,1004796
18-023418,2018-05,02/16/2018 18:20,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4011,DELMAR BLVD,58, , ,4011,DELMAR,894365.3,1023749
18-021845,2018-05,02/16/2018 18:20,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4011,DELMAR BLVD,58, , ,4011,DELMAR,894365.3,1023749
18-007671,2018-05,02/17/2018 21:42,Y, , ,1, ,130000,0,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",7005,FLORENCE PL,0, , ,7005,FLORENCE,886784.2,1047525
18-021400,2018-05,02/18/2018 12:30,Y, , ,1, , 63601,4,"LARCENY-SHOPLIFT $500 - $24,999",2601,OLIVE ST,37,SAM LIGHT LOANS, ,2601,OLIVE,901817.8,1019651
18-007823,2018-05,02/18/2018 21:50, , , ,-1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3559,CALIFORNIA,19, , ,3559,CALIFORNIA,0,0
18-022730,2018-05,02/20/2018 07:30,Y, , ,1, , 69702,5,LARCENY-ALL OTHER UNDER $500,5843,CATES AVE,48, , ,5843,CATES,880814.3,1028562
18-008073,2018-05,02/20/2018 09:00,Y, , ,1, ,241100,3,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,4041,S BROADWAY,16, ,@SCHOOL - CARNAHAN HIGH SCHOOL,4041,BROADWAY,897645.1,1000735
18-016964,2018-05,02/20/2018 16:00,Y, , ,1, ,175400,5,SEX OFFNS-SX MISCONDUCT/SECOND,5400,WELLS AVE,78, , ,5400,WELLS,0,0
18-019676,2018-05,02/22/2018 14:16,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4314,N GRAND BLVD,67, ,NUISANCE ABATEMENT PROPERTY,4314,GRAND,902522.3,1032298
18-020710,2018-05,02/22/2018 23:35,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4329,LEE AVE,68, , ,4329,LEE,897067.1,1034320
18-008485,2018-05,02/23/2018 00:20, , , ,-1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5370,RUSKIN,71, , ,5370,RUSKIN,0,0
18-022893,2018-05,02/23/2018 08:30,Y, , ,1, ,115100,2,FRAUD-STEALING BY DECEIT/OVER $150,5220,OAKLAND AVE,41,CIVIL DESIGN, ,5220,OAKLAND,882152.9,1018203
18-019653,2018-05,02/24/2018 18:20,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,909,NEW HAVEN CT,62, ,NUISANCE ABATEMENT PROPERTY,909,NEW HAVEN,908799.9,1021912
18-010623,2018-05,02/25/2018 06:00, , , ,1, , 69602,2,"LARCENY-ALL OTHER $500 - $24,999",1641,KINGSHIGHWAY,12, , ,1641,KINGSHIGHWAY,0,0
18-010623,2018-05,02/25/2018 06:00, , , ,-1, ,115500,2,FRAUD/STEALING BY DECEIT-O/$150,1641,KINGSHIGHWAY,12, , ,1641,KINGSHIGHWAY,0,0
