Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-051559,2018-11,01/01/1988 12:00,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,5900,WELLS AVE,78, , ,5900,WELLS,0,0
18-051559,2018-11,01/01/1988 12:00,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,5900,WELLS AVE,78, , ,5900,WELLS,0,0
18-053358,2018-11,01/01/2013 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4438,HOLLY AVE,68, , ,4438,HOLLY,898118.7,1035432
18-053718,2018-11,01/01/2015 12:00,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,2000,N 13TH ST,63, ,ALSO OCCURRED AT 3525 BINGHAM AVE,2000,13TH,0,0
18-055007,2018-11,01/01/2016 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,6114,W FLORISSANT AVE,76, , ,6114,FLORISSANT,890496.4,1047848
18-052746,2018-11,01/01/2017 00:01,Y, , ,1, , 21000,2,RAPE -- FORCIBLE,4100,CONNECTICUT ST,15, , ,4100,CONNECTICUT,0,0
18-056376,2018-11,01/01/2018 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4896,KOSSUTH AVE,69, , ,4896,KOSSUTH,892657.6,1036071
18-050925,2018-11,01/01/2018 12:00,Y, , ,1, ,262200,3,PORNAGRAPHY-FURNISHING TO MINOR,3414,MCKEAN AVE,25, , ,3414,MCKEAN,894440.2,1005889
18-054053,2018-11,01/08/2001 06:12,Y, , ,1, ,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36, ,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
18-056202,2018-11,01/09/2017 12:33,Y, , ,1, ,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36, ,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
18-045182,2018-11,01/11/2016 08:00,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,5300,BRANNON AVE,7, , ,1900,OLIVE,0,0
18-055718,2018-11,02/01/2018 11:47,Y, , ,1, ,115100,2,FRAUD-STEALING BY DECEIT/OVER $150,3869,FLAD AVE,27, , ,3869,FLAD,892894.3,1011814
18-053243,2018-11,02/01/2018 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4045,GREEN LEA PL,68, , ,4045,GREEN LEA,899738.8,1033591
18-008605,2018-11,02/23/2018 22:40, , , ,-1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,5233,GRAVOIS,5,SHOT HEAVEN, ,5233,GRAVOIS,0,0
18-009436,2018-11,02/26/2018 15:00, , , ,-1, , 67601,3,"LARCENY-FROM BUILDING $500 - $24,999",3131,ARSENAL,25, , ,3131,ARSENAL,0,0
18-009373,2018-11,02/28/2018 18:00,Y, , ,1, ,183130,0,DRUGS-SALE/HEROIN,6200,STILLWELL DR,0, ,ON STREET,1915,OLIVE,883629.3,1039816
